bot,percentage
AD2D,0.5735265420604517
AD3D,0.5854571177361543
AD4D,0.5967583184831955
AD5D,0.6080944270934273
AD6D,0.6092150601827654
AD7D,0.6206837493289261
AD8D,0.6304777425700763
AD9D,0.63825321359656
AD10D,0.655852381902014
ADJD,0.6634032495392098
ADQD,0.6704924338461866
ADKD,0.6787213414355441
ADAC,0.8547337205867972
AD2C,0.5491909378292679
AD3C,0.5614004494718464
AD4C,0.5734506284917152
AD5C,0.5862242459309199
AD6C,0.5873956176316597
AD7C,0.5994245589268214
AD8C,0.610035283168279
AD9C,0.6186362760201556
AD10C,0.6370876018009146
ADJC,0.64512240362977
ADQC,0.6531285190961877
ADKC,0.6615073699047396
2D3D,0.35220165625490035
2D4D,0.3639225992637341
2D5D,0.3782329750973996
2D6D,0.3788230163110985
2D7D,0.38527085596910166
2D8D,0.4075330034863614
2D9D,0.4287397356361468
2D10D,0.4524147829349293
2DJD,0.47711305014496497
2DQD,0.5042337577067403
2DKD,0.5335410906154813
2D2C,0.5017529046869151
2D3C,0.31482717263903376
2D4C,0.3273886959220482
2D5C,0.3420806665881063
2D6C,0.3432010555789578
2D7C,0.3499584747296769
2D8C,0.3727182564514078
2D9C,0.3955728811157313
2D10C,0.4209123117419265
2DJC,0.447010990891888
2DQC,0.4755820386883884
2DKC,0.50665619495722
3D4D,0.38489734753507854
3D5D,0.3995119288125484
3D6D,0.4005701289877187
3D7D,0.4072161544773069
3D8D,0.41624706464454736
3D9D,0.4401014903876059
3D10D,0.46411499202304796
3DJD,0.48888711622914316
3DQD,0.5158544157035393
3DKD,0.545437177672534
3D3C,0.5365655575287619
3D4C,0.3498667829618475
3D5C,0.36523185774392647
3D6C,0.36592822939831876
3D7C,0.372937859281656
3D8C,0.3831656420125933
3D9C,0.40836850346157344
3D10C,0.43357236637006646
3DJC,0.4595398631180365
3DQC,0.48793304734811227
3DKC,0.5194261460753999
4D5D,0.4199925114809705
4D6D,0.42097147826431663
4D7D,0.42836066276823415
4D8D,0.43775126213888005
4D9D,0.4494485962516909
4D10D,0.47551780139395533
4DJD,0.5003116750075302
4DQD,0.5270877005934703
4DKD,0.5565271464508801
4D4C,0.5709517975738959
4D5C,0.3872126071951721
4D6C,0.3885770524774402
4D7C,0.3959121296629312
4D8C,0.40552552402282466
4D9C,0.41804060594912273
4D10C,0.4458206628733567
4DJC,0.4719049075451468
4DQC,0.5005705833833921
4DKC,0.5312271823523201
5D6D,0.4416374807077703
5D7D,0.4488431149038741
5D8D,0.4584130039255292
5D9D,0.4701931544663175
5D10D,0.48469638376146046
5DJD,0.511945853460761
5DQD,0.538907397431699
5DKD,0.5679100933248398
5D5C,0.6053460331306603
5D6C,0.4099330113524165
5D7C,0.41801932543137255
5D8C,0.4276655733960268
5D9C,0.44022367483503205
5D10C,0.4555634163173721
5DJC,0.48450546489551816
5DQC,0.5129366070018181
5DKC,0.5436014650823768
6D7D,0.46681094275320073
6D8D,0.4765848929380359
6D9D,0.48842013026509357
6D10D,0.5029856244681804
6DJD,0.5195832101501765
6DQD,0.5486922004273521
6DKD,0.5776324858359967
6D6C,0.6352806423745774
6D7C,0.43705664190315424
6D8C,0.44714991528022574
6D9C,0.45914657477079723
6D10C,0.4752098797923735
6DJC,0.4920648566263445
6DQC,0.5231759874635333
6DKC,0.5542540527708906
7D8D,0.49367237420903903
7D9D,0.5058696475684376
7D10D,0.520468665148574
7DJD,0.5370340362587618
7DQD,0.5561969116202725
7DKD,0.5876690563671357
7D7C,0.6653927688417757
7D8C,0.46551602154138916
7D9C,0.4782075415723668
7D10C,0.493742861599366
7DJC,0.5112193064865949
7DQC,0.5311890430049122
7DKC,0.5645480612914086
8D9D,0.5224646914943003
8D10D,0.5377416688212178
8DJD,0.5537740168311063
8DQD,0.5730876037025674
8DKD,0.5953819370798901
8D8C,0.6949805060559254
8D9C,0.4961288659014973
8D10C,0.5119404640007037
8DJC,0.529095443078644
8DQC,0.5493751592211471
8DKC,0.5731282596558931
9D10D,0.5537439372634526
9DJD,0.5701108887639846
9DQD,0.5891046258145685
9DKD,0.6114229473872741
9D9C,0.7244143073794698
9D10C,0.5291991709404389
9DJC,0.5464326296192655
9DQC,0.5668777729454052
9DKC,0.5900731944012025
10DJD,0.5873433684728836
10DQD,0.606565651497294
10DKD,0.6286405023734648
10D10C,0.7535074299697379
10DJC,0.5652572913096748
10DQC,0.5852905003770641
10DKC,0.6086033767970744
JDQD,0.6136985286391994
JDKD,0.6360341338222224
JDJC,0.7778525229018592
JDQC,0.5930903400311992
JDKC,0.616508491601314
QDKD,0.6437929504828793
QDQC,0.8023512822523607
QDKC,0.624984198981299
KDKC,0.8267593204289028
